,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
445254,Kuro Silence,Kuro Silence,United States,chillout; rap; experimental; hip hop; producer; lo-fi; rapper; baltimore; alternative hip hop; artist; east coast; kuro silence; off center; chillhop; lo-fi hip hop; baltimore rapper; ull; east coast rapper,
445788,Cargo Culte,Cargo Culte,Canada,rock; hip hop,montreal; quebec; francophone; quebecois; rap quebecois; Rap français
445808,Clermont,Clermont,,hip hop,hhqc; Rap Qc
446698,Cool & Dre,Cool and Dre,United States,hip hop,
447485,Brun,Brun,Denmark,rap; danish; rapper,
447610,Donte,Donte,United States,hip hop,
447715,Hawdwerk,Hawdwerk,,hip hop,
448025,Seven the General,Seven the General,United States,hip hop; detroit emcee; deroit; 7 mile; detroit rap,
448262,B.B. Jerome and the Bang Gang,B.b. Jerome & The Bang Gang,Belgium,hip hop,
448297,Boi-1da,Boi-1da,Canada,hip hop,
448331,Chrisfader,Chrisfader,Austria,instrumental; hip hop; instrumental hip hop,Hip-Hop; turntablism; Austria
448670,Mayrina Chebel,Mayrina Chebel,France,hip hop; soul; rhythm and blues,soul; female vocalists; r&b; french; rnb; french soul; Soul Diva
449324,FMD,FMD,Denmark,hip hop; dj,intelligent hip-hop; Hip-Hop; hip hop; rap; russian rap; under 2000 listeners; underground hip-hop; russian; hipster; hipster hop; kids in the hall; russian hip-hop; hipster rap; cool kids; fmd; Marselle; Russian hp-hop
449495,Leatha Face,Leatha Face,,hip hop,Hip-Hop; rap; Ohio; Midwest; Cleveland; G-funk; alias; bone thugs-n-harmony; Krayzie Bone
450648,Theory 77,Theory 77,,folk; blues; british; hip hop; uk; dj; spoken word; independent; brighton; solo artist; alternative hip hop; turntablist; dmc; experimental hip hop; intelligent hip hop; uk hip hop turntablism,UK; underground; theory; Buck 65; dmc
450700,Atomik Circus,atomik circus,Canada,ambient; electro; hiphop; chill; drumandbass; deephouse,french; electronic; creative commons; Biarritz
451181,LEX the Lexicon Artist,LEX the Lexicon Artist,United States,hip-hop; hip hop; nerdcore; nerdcore hip hop,
451829,Elliot James,Elliot James,United States,rock; electronic; pop; hip hop; indie rock; indie; urban pop; elliot james; pop urban pop,
452415,Usmaan,Usmaan,United Kingdom,hip-hop; uk; rapper,UK hip hop; brit-hop
452511,2&4,2&4,France,hip hop,
452704,Death of Hi Fi,Death of Hi Fi,United Kingdom,electronic hip hop,electronica; hip hop; experimental; downtempo; dub; dubstep; electro; psychedelic; under 2000 listeners
452715,Dirty Taz,Dirty Taz,Canada,hip hop,Hip-Hop; rap; quebec; Rap FR
452992,Machacha,Machacha,Denmark,danish; hip hop,
453912,Mr Phormula,Mr Phormula,United Kingdom,hip-hop; uk; wales; rapper; beatboxer,
454359,B.U,B.U,Canada,hip hop,
454584,Glaciuz the Icy,Glaciuz the Icy,Sweden,hip hop,hip hop; rap; hiphop
454666,Jitsvinger,Jitsvinger,South Africa,hip-hop; rapper,
454747,Lord Black,Lord Black,United States,hip hop,
455357,DJ 5ter Ton,DJ 5ter Ton,,hip hop,hip hop
455492,GEBO,Gebo,Japan,hiphop,hip hop; japanese; rap
455562,Jin Hackman,JIn Hackman,Malaysia,hip-hop; rapper; malaysia,
455755,Nat Clarxon,Nat Clarxon,United Kingdom,drum and bass; hip hop; reggae; alternative; urban; dancehall; british producer; njc,under 2000 listeners
455806,Pellep Pellep Pellep,Pellep Pellep Pellep,Canada,hip hop; 8-bit,
455852,Ren Reflex,Ren Reflex,Denmark,political; rap; danish; political rap,under 2000 listeners; Hip-Hop; rap; hiphop; political; danish; political rap; danish rap; political hiphop; danish hiphop
456355,Eli MC,ELI Mc,France,hip hop,
456439,GunDei,GunDei,Canada,hip hop,
456907,Chilly D,chilly d,,hip hop,rap; texas; san antonio; memphis rap; memphisrap
457175,D‐Track,D-Track,Canada,hip hop; slam,Hip-Hop; québec
457181,DJ Kyle,DJ Kyle,Spain,hip hop; dj,
458411,Mauvais Acte,Mauvais Acte,Canada,hip hop,montréal; french rap; canadian rap; French-speaking Canadian Rap; Rymz; Mauvais acte
458958,Classick,Classick,,hip hop,
459368,NovaCain,NovaCain,United States,rap; hip-hop; trap; american rapper; swag rap; blind rapper; american hip-hop artist; american musical artist,
461021,J. West,J. West,Canada,rap; hip-hop; canadian; west,
462374,The Stoops,The Stoops & JSquared,,hip hop,Hip-Hop; alternative rap; jazz-hop
463506,Basic Celtos,Basic Celtos,France,rap; french; hip-hop; france; français; hip hop; nu metal; rapcore; hardcore rap; hardcore hip-hop; rap rock; nu-metal; french hip-hop; french rap; political hip hop; hardcore hip hop; nationalist; rif; identity rock; french hip hop; political hip-hop; rock identitaire français; nationalist rap,hip hop; french; francais; Europe; frenchcore; negerdunk; rif; pro-white hip-hop; Hip-Hop; france; rap rock; french rap; French hip hop; french hip-hop; droite; celtic rap; rock identitaire francais; celtic hip hop; Identity Rock; celtic hip-hop; nationalist hip-hop; nationalist rap; nationalist hip hop; pro-serbia rap; pro-serbia hip hop; nationalist rap rock
463900,Kværn,Kværn,Denmark,danish; hip hop; rapper,seen live; danish; punk; punk rock; Garage Punk; Danish Punk; scandinavian; 00s; danish hardcore; trollerier
463945,M.R.F.,M.R.F.,Canada,hip hop,
464119,RasmusModsat,RasmusModsat,Denmark,danish; hip hop; rapper,rap; hip hop; danish
464594,Detox The Kid,Detox the Kid,Japan,downtempo; drum and bass; dubstep; rap; hip hop; anime; progressive; techno; alternative; abstract; alternative rap; weird; tokyo; edm; beats; oldschool; pokemon; nerdcore; illbient; dragon ball z; deephouse; charlotte nc; individual; charlotte; boom bap; hentai; detox; trap; progressivehouse; techhouse; fractals; trapime; detox the kid; dtk; izinagi; mr nico nii~; trentin; hudson; trentin hudson; tokyo japan; hentai senpai; senpai; kawaii; eurostep; videoalbum; videooftheday; indiefilm; edmlifestyle; videoart; saynicethings; abeloth; harrypotter; potterhead; shadowrun; dice; polyhedraldice; dicejunkie; dicecollection; tabletopgaming; tabletopgames,
464670,Frank Dukes,Frank Dukes,United States,hip hop,
464886,Mamiboys,Mamiboys,Singapore,musician; artist; hip hop music; rap music; pop music; electronic dance music; trap music; music band; music group,
465711,Holsaae,Holsaae,Denmark,rap; danish; hip hop,
466153,Sonita Alizadeh,Sonita Alizadeh,United States,rapper,
466538,Crack B,Crack B,Germany,hip hop,
467882,Logilo,Logilo,France,hip hop,
467922,Maseo,Maseo feat. Kovas,United States,hip hop,hip hop
468056,Rap P,Rap P,United States,hip hop,
468593,DJ Shortcut,Dj Shortcut,Canada,hip hop,
468724,HiCoup,Hicoup,United States,hip hop,
468761,Jacques Aubert,Jacques Aubert,France,photographer; photographe,baroque; Classical; french; composer; Baroque composer; Musique Francaise; Erudite music; jacques aubert
469100,SGA,SGA,Canada,hip hop,Elite-Games
471598,DISL Automatic,DISL Automatic,United States,rap; hip hop; rapper,Hip-Hop
471902,Juan$hi,Juan$hi,Chile,latin; latin urban; latin trap,
472881,Johnny Vulture,Johnny Vulture,,hip hop,
473040,Michie Mee & L.A. Luv,Michie Mee & L.A. Luv,Canada,hip hop,
473150,Plum',Plum',France,rap; french; hip-hop,
473265,Sneakguapo,SneakGuapo,,hip hop,
473508,Adit,Adit,Australia,hip hop,
473820,Garbage Collector,Garbage collector,France,rock; noise; rap,
474028,Lord Nez,Lord Nez,United States,hip hop,
474442,X Fader,X Fader,United Kingdom,rap; fusion; urban; dj & producer; xfader; djxfader; manish; djmanish; thexfader; bekhabar; arabicfusion; asian fusion; x fader; manish aka x fader; manish xfader; janam entertainment; x-fade; djxfader.com asian music; indian music; upcoming artist; new artist; urban fusion; rap fusion; arabian fusion; c'mon my people; commercial fusion,
474535,2e Monde,2e monde,Canada,hip hop,
474741,DJ Lord Jazz,DJ Lord Jazz,United States,hip hop,
474769,Degenerates,Degenerates,Australia,hip hop,hip hop; punk; not hip hop; australian hip hop
475927,Hangmen 3,Hangmen 3,,hip hop,underground hip-hop; boston; Hip-Hop; hip hop; rap; new york; american; hardcore rap; east coast rap; United States
476049,Kiing Shooter,Kiing Shooter,United States,hip hop,
476343,Rotten Monkey,Rotten Monkey,Germany,hip hop,
476388,Shomori Pass,Shomori Pass,,hip-hop; rapper; thailand,Hip-Hop
476634,블루,블루,South Korea,rap; korean; hip hop; khh; khiphop; bloo,
476749,Blackmale,Blackmale,United States,hip hop,
477057,Ill Move Sporadic,Ill Move Sporadic,United Kingdom,hip hop; uk hip hop; uk rap; british hip hop,
477296,Mr Hill & Rahjconkas,Mr Hill & Rahjconkas,Australia,hip hop,
477706,'aLi,'aLi,Malaysia,rap; roslan aziz productions; ikhlas; sheila majid; ikhlas tapi jauh; adhicipta; universal music; ali; hijau; warner music; mukhlis nor,soul; jazz; pop; rock; folk; ambient; industrial; Fusion; world; techno; london; lounge; r&b; NYC; World Music; NIN; nine inch nails; sting; under 2000 listeners; genesis; ali; Aquarius; Peter Gabriel; Chez Musinum; kuala lumpur; hip  hop; hijau; Sheila Majid; eastwest; The Lodge; satu; ikhlas; airasia; ikhlas tapi jauh; kamarudin meranun; tony fernandes; Zainal Abidin; richard branson; trent raznor; joe flizzow; emi music publishing; tom coyne; bebas; adhicipta; universal music publishing; emosi; yasmin ahmad; 301 studios; emily lazaar; gerimis semalam; guy gray; m yussuf ali; mazlan hamzah; jenny chin; mac chew; rex goh; studios 301; the shaolin temple KL; the sydney symphony orchestra; tito somarsoeno; atilia; mujik; sterling sounds; the shaolin temple; don bartley; boudeng; ken freeman; metropolis studios; pgl; puteri gunung ledang; tony cousins
479423,MC Tia,MC Tia,Denmark,rap; danish; hip hop; femme rap,
479459,Melbeat,Melbeat,France,electronic; dubstep; hip hop; reggae; dub; ethno dub,
479684,Sam Faye,Sam Faye,Canada,hip hop,
480491,Kool DJ Herc,Kool DJ Herc,United States,hip hop,
