,artist_mb,artist_lastfm,country_mb,tags_mb,tags_lastfm
3544,Jan Delay,Jan Delay,Germany,german; hip hop; reggae; funk,reggae; german; seen live; funk; Hip-Hop; hip hop; hamburg; deutsch; german hiphop; jan delay; german reggae; dancehall; rap; hiphop; dub; German hip hop; soul; Deutschrap; german hip-hop; eimsbush; pop; funky; ragga; live gesehen; germany; beginner; Deutscher Hip Hop; absolute beginner; jazz; deutscher hiphop; Hamburger Schule; rock; male vocalists; german artists; Deutscher Hip-Hop; chill; Disco; dance; political; live; 00s; roots reggae; german lyrics; reaggae; german rap
3547,Ab-Soul,Ab-Soul,United States,hip hop,Hip-Hop; rap; underground hip-hop; West Coast Rap; hip hop; black hippy; west coast; California; underground rap; tde; american; los angeles; carson; west coast hip hop; seen live; west coast hip-hop; Ab-Soul; underground; kendrick lamar; Top Dawg ENT; underground hip hop; alternative rap; All; jay rock; schoolboy q; Ab Soul; USA; hiphop; cali; alternative hip hop; Lyricists; hot shit; black lip bastard; alternative; Love; poetry; Gangsta Rap; old school; good shit; spiritual; male vocalists; check; smart; 00's; True Hip Hop; lyrical; check later; alternative hip-hop; conscious hip-hop; true school; wonderful voice; marijuana; truth; 10s; abstract hip-hop; makes me happy; compton; god; west; knowledge; Real hip-hop; real; United States; conscious; From: USA; Hip Hop/Rap; good rap; hip-hop/rap; d; ugly; interscope; Street-Smart; jazz rap; Conscious Hip Hop; westcoast; later; favorite track; spotify; junkie; Inglewood; west side; half-man half-amazing; GTA; done; True Hip-Hop; trillwave; excellent lyrics; Interscope Records; USA Rap; street poetry; True Skool; True rap; westcoast hip hop; westcoast hip-hop; West Coast underground; Carson CA; ONE LOVE; GREATEST EVER; Cali rap; California Hip-Hop
3564,Desiigner,Desiigner,United States,pop rap; east coast hip hop; trap rap,
3584,Kano,Kano,United Kingdom,hip-hop; british; uk; london; grime; rapper; hip hop rnb and dance hall,Grime; Hip-Hop; british; rap; hip hop; Italo Disco; UK; Disco; UK hip-hop; garage; seen live; 80s; electronic; london; electro; dance; UK hip hop; italo-disco; kano; UK Garage; dubstep; funk; italo; new wave; electropop; synth pop; urban; pop; soul; rnb; UK Grime; House; england; synthpop; Euro Disco; UK rap; jazz; rock; japanese; synth; funky; space disco; english; indie; singer-songwriter; Drum and bass; hiphop; italian; underground; UKHH
3588,DJ Mehdi,DJ Mehdi,France,hip hop; rock and indie,electro; electronic; french; ed banger; seen live; Hip-Hop; electronica; dance; turntablism; House; french electro; hip hop; french house; dj; Electroclash; new rave; elektro; france; Disco; ed rec; ed banger records; 00s; trip-hop; techno; paris; indie; alternative; electro house; f; electro funk; francais; Neonized Magazine; electro hip-hop; All; Gone too soon; Electro Hip Hop; french touch; electro hop; electro french; Dour 2007; mehdi; Dj Medhi
3614,Biz Markie,Biz Markie,United States,hip-hop; hip hop; pop rap; hip hop rnb and dance hall; boom bap; east coast hip hop,Hip-Hop; rap; old school; hip hop; East Coast; old school rap; east coast rap; 90s; seen live; 80s; comedy rap; american; new york; golden age; east coast hip-hop; golden age hip hop; beatbox; Old School Hip Hop; old school hip-hop; juice crew; classic hip-hop; hiphop; comedy; oldschool hip hop; USA; upbeat; pop rap; All; Golden Age hip-hop; chill; alternative; funk; Dope; fun; Real hip-hop; biz markie; Long Island; boom bap; Supreme Hip-Hop; east coast hip hop; Classic Hip Hop; pop-rap; the biz; good old days; nyc hip hop; Egg Harbor Township
3615,Playaz Circle,Playaz Circle,United States,hip hop rnb and dance hall,rap; Dirty South; Hip-Hop; southern rap; hip hop; Crunk; rick ross; DTP; weezy f aka yancy tate; alternative; rnb; rhythm and blues; drugs; Ludacris; deathcore; atlanta; south; disturbing tha peace; spotify; favorite album; wigger slam; southern hip-hop; Rap US; Playlist1; Altar of the Metal Gods; artists or bands i have interviewed; young jeezy; gucci mane; Altar of the Metal Gods Black Metal; nigger please; GET YO DRANK AND RAPE SOME HO; Melhores da Black Music; brutal rap; Let me fly; post-gangsta; Altar of the Metal Gods Technical Death Metal; Playaz Circle; real gangster; yancy tate
3616,Tha Dogg Pound,Tha Dogg Pound,United States,hip hop; gangsta rap; west coast hip hop,Hip-Hop; G-funk; Gangsta Rap; rap; West Coast Rap
3630,Little Brother,Little Brother,United States,rap; hip-hop; hip hop; underground hip-hop,Hip-Hop; hip hop; underground hip-hop; rap; Justus League; seen live; North Carolina; underground hip hop; underground; Little Brother; 9th wonder; underground rap; alternative rap; Real hip-hop; hiphop; soul; chill; durham; okayplayer; rapper big pooh; jazz; Jazz Hop; chillout; urban; american; Dope; backpack; phonte; alternative; funk; smooth; 00s; alternative hip-hop; real hip hop; indie; turntablism; Neo Soul; Black; east coast rap; southern rap; laid-back-mellow; LB; Allen Poe General; electronic; favorites; Dirty South; rnb; anticon; chill out; NC; humorous; underground hiphop; indie hip-hop; Conscious Rap; southern hip-hop; coachella 2008
3645,Webbie,Webbie,United States,hip hop,rap; Hip-Hop; Dirty South; southern rap; hip hop
3649,Timeflies,Timeflies,United States,pop; rap; electro; dance and electronic,Hip-Hop; pop; electro-pop; rap; american
3692,A‐Trak,A-Trak,Canada,hip hop,seen live; turntablism; electronic; Hip-Hop; scratch; hip hop; electro; Canadian; montreal; mashup; canada; House; electro house; beats; dj; electronica; dance; quebec; remix; mash-up; club; producer; coachella 2008; rap; experimental; urban; male vocalists; en vivo; Kitsune; remixes; dance party; sxsw 2009; roskilde 2006; Electric Picnic 2008; southside 2011; ll10
3706,Action Bronson,Action Bronson,United States,hip hop,Hip-Hop; rap; seen live; underground hip-hop; new york; hip hop; american; queens; East Coast; east coast hip-hop; underground rap; underground hip hop; boom bap; USA; underground; food; east coast hip hop; Gourmet rap; alternative hip-hop; hardcore hip-hop; east coast rap; All; white rap; New York Rap; cloud rap; jazz rap; Action Bronson; trap rap; flushing; electronic; soul; funk; seenlive; Dope; hiphop; xxx; NYC; grimy; electroacoustic; fun; jazzy; 00's; future; albania; New York City; alternative rap; no; United States; SXSW 2013; Film Soundtrack; Hip Hop/Rap; ambient hip hop; underground hiphop; The Shit; real hip hop; hipster hop; hardcore hip hop; beard; fucking beautiful; fat beats; White Hip-Hop; puts me in a good mood; Rap US; 7 stars; new-york; drug references; the strombo show; doo doo brown; roots picnic; freshman; Total sex; nowy jork; sasha kamenetska; need to see this shit live; good old RAP; Elsewherethrone; queens shit; new yok; food references; food rap; foodiecore; pedaly ktorych nieslucham lol; rnspm; undeground hip-hip; foodie music
3710,Nujabes,Nujabes,Japan,instrumental; hip hop; acid jazz; instrumental hip hop,Hip-Hop; japanese; Jazz Hop; chillout; trip-hop; jazz; hip hop; instrumental hip-hop; electronic; instrumental; downtempo; anime; nujabes; abstract hip-hop; jazz-hop; chill; japanese hip-hop; underground hip-hop; nu jazz; trip hop; japan; Samurai Champloo; Soundtrack; acid jazz; lounge; rap; instrumental hip hop; ambient; beats; jazz rap; jazzy; jazzy hip hop; electronica; hiphop; jazzy hip-hop; turntablism; alternative hip-hop; j-hop; cool jazz; soul; Japanese hip hop; RIP; piano; JPop; Mellow; smooth; producer; anime soundtrack
3713,Calle 13,Calle 13,United States,rock; rap; alternative; latin; latin rap,Reggaeton; latin; hip hop; puerto rico; spanish; Hip-Hop; seen live; rap; Puerto Rican; calle 13; alternative; latino; urban; urbano; Hip Hop Latino; pop; boricua; alternative reggaeton; world; español; 00s; Latin Rap; alternative rap; electronic; experimental; en espanol; Coachella 2010; indefinida y variada; dance; funny; hot; shit; latin hip hop; puertorriqueno; Altar of the Metal Gods; emo; quirky; hiphop; party; cumbia; latin alternative; latin america; alternative hip-hop; hilarious; fresh; Brutal Death Metal; global fusion; heavy hitter; Altar of the Metal Gods Black Metal; calle13
3721,E-40,E-40,United States,rap; hip hop,rap; Hip-Hop; hyphy; Bay Area; hip hop; West Coast Rap; west coast; Gangsta Rap; yay area; California; west coast hip-hop; yay area rap; seen live; vallejo; E-40; Crunk; G-funk; west-coast rap; westcoast; american; bay area rap; Bay Slaps; electronic; USA; hiphop; gangsta; thuggish; west coast hip hop; mobb music; g-eazy; hyphy music; underground hip-hop; Dirty South; old school; hardcore rap; Street-Smart; spotify; wack; west side; Westside; bay area hip-hop; Nutshell; hypy; 40 water
3730,Yellow Claw,Yellow Claw,Netherlands,dubstep; hip hop; electro house; hardstyle; moombahton; trap,trap; electronic; Hip-Hop; electro; House
3764,Slick Rick,Slick Rick,United States,hip hop,Hip-Hop; old school; rap; hip hop; east coast rap; seen live; old school rap; East Coast; 80s; Old School Hip Hop; slick rick; golden age hip hop; british; hiphop; old school hip-hop; golden age; new york; east coast hip-hop; american; Old-School; east coast hip hop; 90s; old skool; Golden Age hip-hop; downtempo; oldschool; underground hip-hop; london; Gangsta Rap; storytelling; legend; SLICK RICK THE RULER; classic; beatbox; hardcore rap; classic hip-hop; Classic Hip Hop; Oldschool Hip-Hop; oldschool rap; old school shit; Allen Poe General; black hip-hop
3768,Freddie Gibbs,Freddie Gibbs,United States,rap; hip-hop; hip hop; gangsta rap; hardcore rap; midwest rap,Hip-Hop; rap; Gangsta Rap; underground hip-hop; seen live; hip hop; american; Indiana; trap rap; Midwest; gary; underground rap; hiphop; underground hip hop; trap; hardcore hip hop; USA; mixtape; 10s; All; cloud rap; Freddie Gibbs; Madlib; Dope; Dirty South; Recommended; male vocalists; dj; 00s; 00's; chicago; Crap; Trash; emotion; seen live twice; seen live three times; garbage; terrible; hardcore hip-hop; gangsta; West Coast Rap; Real hip-hop; real; sxsw 2010; sxsw 2012; unknown; flow; boom bap; underground hiphop; terrific; seen live x2; modern rap; jazz rap; Conscious Hip Hop; niggercore; amazing live; spotify; midwest rap; wack; live seen; gangsta shit; funk and soul; done; Hipster-Hop; west coast hip hop; bands i've seen live; midwest hip hop; pitchfork music festival 2010; midwest hip-hop; undergroundhiphop; gary in; ESGN; New school rap; kd; ff checken; sasha kamenetska; bco; new school hip-hop; mojolukasmojo; Mobb Shit; ture; quickie mart; gotham green; josh the goon; Real MC; hiphop underground hiphop; gangsta gibbs; fdsfhjksafhsaofh; pedaly ktorych nieslucham lol; No Filla; westcoasthiphop; prio3; unknown rap; tupac reborn; ugk skinny pimp 8ball mjg
3778,LFO,LFO,United States,pop rap; boy band,techno; electronic; idm; electronica; Warp; electro; pop; ambient; seen live; experimental; dance; british; House; Acid; acid house; UK; minimal; Warp Records; boybands; industrial; experimental techno; 90s; Rave; bleep; LFO; trance; Ambient Techno; rock; alternative; acid techno; Hip-Hop; chillout; indie; minimal techno; instrumental; rap; downtempo; detroit techno; trip-hop; punk; indie rock; post-rock; dub; acoustic; abstract; synth; england; american; breaks; breakbeat; oldskool; elektro; breakcore; Sheffield; t e c h n o
3779,Kris Kross,Kris Kross,United States,hip hop; hip hop rnb and dance hall,Hip-Hop; rap; 90s; hip hop; old school; pop; american; fun; kids; atlanta; male vocalists; hiphop; kriss kross; USA; old school hip-hop; seen live; Awesome; Energetic; Gangsta Rap; Dirty South; comedy; 1992; Old School Hip Hop; jump; golden age; All; 90s Hip Hop; Kris kross; electronica; trip-hop; rock; soul; country; dance; urban; groove; techstep; old skool; beats; oldskool; rnb; eurodance; shit; 5 Stars; nostalgia; 1990s; georgia; east coast rap; bubblegum pop; us; family; rappers; treble; d; one hit wonder; partay; boybands; music from my childhood; gay music; hip-pop; classic hip-hop; spotify; Trancestep; 90s rap; Summer Jams; 90s hip-hop; southern hip-hop; Rap US; 6 stars; aerobic music; hip hop rap; aerobic; kross; Oaktown; US hip-hop; youngstar; US rap; Bravo Hits Trauma; LITTLE STAR; Crunk Beatz; grammy nominee; jou; Us Hip Hop; GREATEST EVER; US-Hip-Hop; Aerobic-Dance; dead rockstars; KRIS; Seen on Beavis and Butt-Head; aerobic-step; old school heroes; Melhores da Black Music; tae- bo aerobic; tae-bo aerobic; i love 90s; lora; Aerobic- Dance; aerobic hits; fpyte kozacki rap; Studidisko
3789,Insane Clown Posse,Insane Clown Posse,United States,hiphop; us; basement cuts; clowns ha ha,Horrorcore; juggalo; rap; Hip-Hop; psychopathic; rapcore; hip hop; wicked shit; seen live; Officially Shit; ICP; rock; detroit; nsbm; american; metal; Psychopathic Records; national socialist black metal; underground hip-hop; death metal; black metal; shit; goregrind; Brutal Death Metal; deathgrind; brutal deathcore; deathcore; hard rock; Nu Metal; moshcore; heavy metal; Grunge; grindcore; RAC; true metal; real screamo; Rock Against Communism; metalcore; indie; industrial; Melodic Death Metal; thrash metal; Gothic Metal; mathcore; hatecore; drone metal; True Norwegian Black Metal; true black metal; nintendogrind; doom metal; hair metal; viking metal; speed metal; Sludge; glam rock; speedcore; symphonic metal; post-grunge; post-hardcore; Power metal; sludge metal; Blackened Death Metal; powerviolence; harsh noise; Glam Metal; Suicidal Black Metal; sludgecore; power violence; Black Doom Metal; DSBM; death doom; pornogrind; raw black metal; Death Doom Metal; cybergrind; porngrind; Depressive Suicidal Black Metal; Extreme Black metal; pirate metal; Gothic Doom Metal; death-doom metal; gothic-doom metal; brutal black metal; death-doom; satanic black metal; christcore; beatdown hardcore; progcore; gothic doom; blackcore; black doom; satanic metal; black-doom metal; Gothic-Doom; Black-Doom; alternative; industrial metal; rap rock; insane clown posse; Atmospheric Sludge
3812,Kurupt,Kurupt,United States,hip hop,rap; Hip-Hop; Gangsta Rap; G-funk; West Coast Rap; west coast; hip hop; Kurupt; California; los angeles; hiphop; west coast hip-hop; seen live; american; gangsta; death row; westcoast rap; westcoast; Westside; 90s Westcoast; dpg; long beach; west; west side; WESTCOAST CLASSICS; underground hip-hop; 90s; Rap and Hip Hop; Aftermath; dpgc; tha dogg pound; USA Rap; Dogg Pound; best west coast; oldschool; old school; LA; good rap; Rap and Hip-Hop; hot shit; american rap; west coast shit; LA rap; YOUNG GOTTI
3821,Jeru the Damaja,Jeru the Damaja,United States,hip hop,Hip-Hop; rap; hip hop; underground hip-hop; new york; seen live; Brooklyn; east coast rap; East Coast; hiphop; underground rap; underground hip hop; Jazz Hop; hardcore rap; underground; east coast hip hop; east coast hip-hop; 90s; Jeru The Damaja; Real hip-hop; american; old school; gang starr foundation; alternative rap; dj premier; jazz rap; old school rap; boom bap; Intelligent Rap; NYC; beats; alternative hip-hop; Old School Hip Hop; golden age; Conscious Hip Hop; Indie Hip Hop; New York City; hardcore hip-hop; USA; funk; Drum and bass; 00s; political rap; old school hip-hop; oldschool rap; gangstarr foundation
3828,Son Lux,Son Lux,United States,electronic; experimental; new york; indie; hiphop; chamber pop,electronic; experimental; trip-hop; ambient; indie; seen live; anticon; electronica; ethereal; post-rock; art pop; post-hardcore; chillout; alternative; indie rock; USA; rock; alternative rock; downtempo; piano; Dreamy; glitch; atmospheric; trip hop; dream pop; american; abstract hip-hop; All; new york; indie electronic; singer-songwriter; chamber pop; Avant-Garde; male vocalists; to listen; Indietronic; alternative rap; us; asciiecho; son lux
3845,Hudson Mohawke,Hudson Mohawke,United Kingdom,electronic; hip hop,electronic; experimental; Hip-Hop; instrumental hip-hop; seen live; wonky; instrumental; glitch; idm; glitch-hop; Warp; trap; dubstep; beats; experimental hip-hop; hip hop; electronica; abstract hip-hop; glitch hop; british; mad-hop; glasgow; breakbeat; trip-hop; Scottish; underground hip-hop; Aquacrunk; downtempo; instrumental hip hop; Broken Beat; purple sound; bass; abstract hip hop; hip-hop for people who do not like hip-hop; polyshufflez; electro; scotland; All; progressive hip-hop; abstract; trip hop; Dope; Crunk; video game music; United Kingdom; hot shit; asciiecho; beat dimensions; low end theory; Hudson Mohawke; s0n4r sp
3849,Kottonmouth Kings,Kottonmouth Kings,United States,hip hop; rap rock,Hip-Hop; rap; rapcore; stoner; rock; hip hop; punk; alternative; seen live; rip-hop; juggalo; marijuana; Kottonmouth Kings; rap rock; Stoner Rap; weed; kmk; alternative rock; punk rock; 420; Suburban Noize; reggae; american; Punk Rap; underground hip-hop; alternative rap; underground rap; California; hardcore; crossover; underground hip hop; alternative hip-hop; Horrorcore; Stoner Music; Stoner Rock; favorites; 90s; hiphop; rap punk; psychedelic hip-hop punk rock; electronic; chill; USA; psychedelic; Nu Metal; hardcore rap; stoner-rap; metal; indie; hard rock; ska; male vocalists; hip hop and rap; rap metal; psychopathic; hardcore hip-hop; West Coast Rap; pot; insane clown posse; rap-metal; mixture; white trash; spotify; 7 stars; weed rap; rip hop; srh; electronica; Fusion; bass; Gangsta Rap; comedy; west coast; underground; hardcore punk; music; Rap-Rock; ganja; us; Orange County; smoke; psycho metal; rap-core; cannabis; Toxic; rap-rapcore; ICP; juggalo rap; Rap-punk; fuck obama; d-loc; PTB; Rap-Hip-Hop; Subnoize; psychometal; look behind you; california rap; Psycho Style; Psycho Metal Tag Radio; PsychoMetal4Life
3851,Neneh Cherry,Neneh Cherry,Sweden,electronic; 80s; 90s; rap; swedish; dance; sweden; singer-songwriter; hip hop; usa; female vocalists; pop rap; european; 00s; dance and electronica; 10s; contemporary r&b,pop; female vocalists; soul; Hip-Hop; urban; swedish; seen live; 80s; trip-hop; hip hop; dance; 90s; rap; Sweden; funk; singer-songwriter; electronic; female; rnb; female vocalist; trip hop; scandinavian; funky; freestyle; art pop; british; dance-pop; neneh cherry; indie; rock; r and b; Female Voices; pop rap; stockholm; chillout; alternative; european; pop-rap; nu jazz; jazz; dub; london; 80's; alternative dance; 6 stars; trance; electronica; vocal; sexy; UK; USA; vocal jazz; beautiful; fun; new jack swing; rhythm and blues; Swedish Pop; singer-songwriters; female artists; female singers; alternative rap; woman; 10s; 1980s; 1990s; Sverige; Avant-Garde Jazz; All; dream trance; contemporary rnb; contemporary r&b; alternative rnb; Scandinavian Girls; femc; aerobic; pop rock ballad; biracial; i bet you wish you was black too; buffalo stance; Wonderful Women; my swede girls
3897,Floetry,Floetry,United Kingdom,hip-hop; british; soul; rnb; neo soul; english; spoken word soul; hip hop rnb and dance hall,Neo-Soul; soul; female vocalists; rnb; Hip-Hop; floetry; Neo Soul; hip hop; british; r&b; nu soul; sexy; singer-songwriter; r and b; female vocalist; urban; rhythm and blues; pop; smooth; 00s; UK soul; chillout; jazz; Love; funk; beautiful; neosoul; grown folk soul; seen live; slow jams; floetry   hip hop   hip-hop   neo soul   neo-soul   rnb   soul; alternative; rap; UK; favorites; groove; poetry; Mellow; emotional; relaxing; powerful; hip-hop poets; sweet vocals; love making music
3910,Big Daddy Kane,Big Daddy Kane,United States,hip hop,Hip-Hop; rap; old school; hip hop; Old School Hip Hop; east coast rap; new york; Brooklyn; 80s; old school rap; Big Daddy Kane; seen live; golden age; hiphop; american; old school hip-hop; 90s; East Coast; east coast hip-hop; underground hip-hop; juice crew; hardcore rap; classic; NYC; old skool; boom bap; golden age hip hop; oldschool; funk; east coast hip hop; classic hip-hop; old-school rap; USA; Classic Hip Hop; Golden Age hip-hop; oldskool; New York City; pop rap; hardcore hip-hop; legend; pop-rap; new york hip-hop; Oldschool Hip-Hop; oldschool rap; stuff I love
3914,Bell Biv DeVoe,Bell Biv DeVoe,United States,hip hop; new jack swing; hip hop rnb and dance hall; contemporary r&b,new jack swing; rnb; Hip-Hop; 90s; soul; hip hop; 80s; pop; funk; dance; old school; male vocalists; r&b; Bell Biv Devoe; rap; rhythm and blues; new edition; urban; r and b; bbd; american; boston; nostalgia; scrubs; Myjukebox; 90s Rnb; deepsoul; high school years; electronic; indie; punk; alternative; alternative rock; hardcore; emo; sexy; indie pop; indie rock; USA; Stoner Rock; new wave; motown; quiet storm; hiphop; Mellow; gay; smooth; punk rock; screamo; East Coast; guilty pleasure; popular; lesser known yet streamable artists; 5 Stars; english; mod; Poison; 4 Stars; 1990s; family; Garden State; Massachusetts; r'n'b; All; d; pra; slow jam; Male Groups; 90s pop; popular music; romantic ballads; music of my youth; r n b; Summer Jams; 90s hip-hop; GTA; craig david; New Soul - Hip Hop - Rap; Teachers Lessons; rhythm'n'blues; Oaktown; Guy; Rhythm and Blues and Hip-Hop; Alta-tensao; male group; sweetvoice; Have to check; 90s r&b; do me; GREATEST EVER; '90; Rap/Hip Hop; Need to Rate; weird band name; matchinoutfits; old school heroes; lora; rnb unit; macsgroove; Ohana
3926,Styles P,Styles P,United States,hip hop; hip hop rnb and dance hall,Hip-Hop; rap; D-Block; hip hop; East Coast; new york; styles p; east coast rap; Gangsta Rap; the lox; Ruff ryders; underground rap; yonkers; underground hip-hop; american; hiphop; hardcore rap; LOX; seen live; gangsta; All; eastcoast; hardcore; male vocalists; underground; US Hiphop; New York Rap; jadakiss; the ghost; D Block; electronic; singer-songwriter; USA; NYC; underground hip hop; rakim; lyrical; Kanye West; the game; bad boy; Rihanna; jay-z; roc-a-fella; Ludacris; grandmaster flash; xzibit; Busta Rhymes; Stevie Wonder; Streets; queens; Real hip-hop; real; Nelly; rappers; Eminem; rick ross; Queensbridge; Myjukebox; Ciara; 50 Cent; Lil Wayne; street; Paul Wall; mike jones; 2000's; Rap and Hip-Hop; Nas; ny; east coast hip-hop; lil flip; tupac; krs-one; Will Smith; Cassidy; Akon; Missy Elliott; Raekwon; ghost; G-Unit; Snoop Dogg; mobb deep; east; UGK; my favorite; Fabolous; Music to download; New School; Ne-Yo; mc hammer; new york hip-hop; lil scrappy; Lil Jon; Ice Cube; GTA; freeway; Jim Jones; david banner; T-Pain; chingy; dmx
3934,Killer Mike,Killer Mike,United States,rap; jazz; american; hip hop; southern hip hop; dirty south; killer mike,Hip-Hop; rap; Dirty South; southern rap; hip hop; seen live; Gangsta Rap; atlanta; southern hip-hop; georgia; hardcore hip-hop; american; underground hip-hop; political hip-hop; Southern Hip Hop; hardcore rap; hardcore hip hop; killer mike; underground rap; ATL; dungeon family; political; 00s; alternative; Crunk; male vocalists; conscious hip-hop; All; Political Hip Hop; South Rap; USA; hiphop; underground; alternative rap; hip hop and rap; 10s; southern; Conscious Hip Hop; Atlanta Underground
3950,New Edition,New Edition,United States,pop; american; rnb; new jack swing; boy band; hip hop rnb and dance hall; teen pop; pop soul; contemporary r&b,rnb; 80s; soul; pop; new jack swing; new edition; r&b; Hip-Hop; 90s; old school; male vocalists; rhythm and blues; urban; r and b; seen live; dance; american; boston; bobby brown; boybands; hip hop; USA; new wave; fun; boy band; Love; funk; slow jams; boy bands; johnny gill; ralph tresvant; slow jammin it; bbd; rap; female vocalists; motown; smooth; Favorite; 80s Pop; Massachusetts; Male Groups; Jam and Lewis; High School Memories; 80s soul; Aleyster Crowley; Argeu california seixas; male group; beautiful harmony; Nova California Seixas; elementary school memories; Im in still love with you
3971,Spank Rock,Spank Rock,United States,big dada; hip hop rnb and dance hall,Hip-Hop; electronic; seen live; underground hip-hop; hip hop; Baltimore; rap; electronica; electro; baltimore club; Grime; american; indie rap; dance; big dada; dirty rap; ninja tune; party rap; underground rap; underground hip hop; Philadelphia; alternative hip hop; bmore; alternative; USA; club; b-more; indie; Spank Rock; trip-hop; funk; funky; breaks; male vocalists; 00s; indie hip-hop; Electro Hip Hop; coachella 2008; g-eazy; hiphop; party; hipster dance party; alternative hip-hop; underground; Philly; dance party; Electro-Hop; neo-electro; Lollapalooza 2008; Baltimore Bass Connection; chill to the ill
3973,Brother Ali,Brother Ali,United States,hip-hop; hip hop; rapper,Hip-Hop; underground hip-hop; seen live; rap; rhymesayers; hip hop; underground hip hop; Minnesota; underground rap; hiphop; underground; Minneapolis; brother ali; american; underground hiphop; officially awesome; indie; twin cities; alternative hip-hop; albino; midwest rap; USA; Dope; alternative rap; abstract hip-hop; Officially Shit; Real hip-hop; political; coachella 2007; Midwest; daytrotter; indie rap
4000,Culcha Candela,Culcha Candela,Germany,german; hip hop; reggae; hiphop; salsa; dancehall; de,reggae; dancehall; german; seen live; ragga; Reggaeton; deutsch; Culcha Candela; Hip-Hop; Berlin; hip hop; german reggae; pop; german dancehall; hiphop; party; chillout; rap; chill; dance; summer; german artists; male vocalists; reggae dancehall; germany; rock; live gesehen; european; dancehall reggae; offener Brief an Angela Merkel
4022,Daniel Merriweather,Daniel Merriweather,Australia,australian; australia; hip hop rnb and dance hall; australie; australien; 2009,soul; pop; funk; rnb; male vocalists; australian; singer-songwriter; seen live; indie; 00s; alternative; funky; australia; male vocalist; House; Mark Ronson; british; Blue-Eyed Soul; r&b; melbourne; danielmerriweather; urban; Neo-Soul; rock; pop rock; alternative pop; blue eyed soul; chillout; chill; 2009; sexy; indie rock; easy listening; acid jazz; groove; smooth; cool; Favourites; Aussie; All; contemporary rnb; Daniel Merriweather; take a listen; your voice kills me
4025,Trina,Trina,United States,hip hop,rap; Hip-Hop; female vocalists; rnb; hip hop
4027,Cut Chemist,Cut Chemist,United States,hip hop,turntablism; Hip-Hop; trip-hop; electronic; hip hop; seen live; dj; Hann with Gun; electronica; underground hip-hop; instrumental hip-hop; funk; chillout; experimental; american; hiphop; indie; chill; rap; trip hop; breakbeat; breaks; beats; underground hip hop; instrumental hip hop; instrumental; ninja tune; los angeles; jurassic 5; cut chemist; downtempo; scratch; j5; alternative; lounge; funky; 00s; producer; underground; Cut-Up-DJ
4028,Lil' Wyte,Lil Wyte,United States,hip hop,rap; Hip-Hop; Dirty South; southern rap; Gangsta Rap; Crunk; memphis; memphis rap; lil wyte; hip hop; Hypnotize Minds; gangsta; underground; bay area rap; hardcore; screamo; drugs; juggalo; wigger; South Rap; wyte; metalcore; grindcore; bass; music; smoke; All; hcp; classic rock; metal; seen live; indie; pop; rock; instrumental; punk; Grunge; alternative rock; favorite songs; reggae; emo; ambient; indie rock; hard rock; USA; lalala; underground rap; urban; american; Acid; Sludge; Dope; hiphop; r and b; rnb; stoner; male vocalists; Favourites; deathcore; 2000; 1981; south; southern; insane clown posse; white rap; My Favorites; Rap and Hip Hop; psycho metal; Rap and Hip-Hop; hip-hop and rap; Most Listened to hip hop; songs that i sing along to but i always forget the words so i say duh duh while trying to sound like i do know the words and no one is falling for it but they keep quiet because they are embarassed for me; gangster; a; fool; w; three 6 mafia; Dipset; fight; Toxic; three six mafia; ICP; southern hip-hop; badass bass; Crunk Shit; wigga; great love songs; tennesse; Gathering Of The Juggalos; other users list; MY tagged stuff; freshman; MZA; Broke Dick; oxycotton; The David Damboise Set of tags; psychometal; 678-74-311-75; im gone; look behind you
4035,Wagon Christ,Wagon Christ,United Kingdom,downtempo; british; idm; uk; ambient techno; english; trip hop; ninja tune; instrumental hip hop; luke vibert,electronic; idm; trip-hop; ninja tune; electronica
4055,Mystikal,Mystikal,United States,hip hop,rap; Hip-Hop; Dirty South; hip hop; southern rap; New Orleans; Gangsta Rap; mystikal; american; Crunk; no limit; soul; USA; alternative; hiphop; 00s; louisiana; southern hip-hop; New Orleans Rap; reggae; hardcore rap; gangsta; My Favorites; funk; techno; party; rnb; East Coast; male vocalists; Midwest; All; US Hiphop; terror squad; Dipset; american rap; Crunk Beatz; one fucking cool song in a werid way
4066,Patti LaBelle,Patti LaBelle,United States,soul; hip hop rnb and dance hall,soul; female vocalists; rnb; funk; 70s; Patti LaBelle; Disco; pop; r&b; american; female vocalist; 80s; diva; gospel; seen live; expressive voices; philly soul; classic rock; urban; soft rock; busty; Patti; Philadelphia; USA; dance; rhythm and blues; legend; jazz; classic; quiet storm; 90s; female vocal; breasts; boobs; RnB-soul; Soundtrack; female; singer-songwriter; blaxploitation; dance-pop; r and b; love songs; Rock and Roll; 80's; 00s; divas; classic soul; big boobs; 80s soul; stir it up; regina belle; Pattie Labelle
